216,216,216,216,216,216,216,216,216,216,194,194,194,194,194,194,194,194,194,194
216,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,194
216,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,194
216,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,194
216,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,194
216,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,194
216,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,194
216,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,194
216,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,194
216,216,216,216,216,216,216,216,216,216,194,194,194,194,194,194,194,194,194,194
